Day,Month,Year,Time of Call,Incident Number,X Coordinate,Y Coordinate,Unitary Authority,Ward,Origin of Call,Incident Category,Property Category,Property Type,Is Primary Fire,Cause of Fire,Is Property Derelict?,Is Property Occupied at the Incident?,Property Normally Occupied?,Is Fire Confined to Chimney?,How Fire Was Discovered?,Main Cause of Fire,Ignition Source,Ignition Source Powered,Item First Damaged,Item Responsible for Spread of Fire,Main action by Other Than FRS,Main Action by FRS,Special Service Type,Road Traffic Collision,False Alarm Reason,Victims Involved?,Were Alarm Systems Present?,No. of fatalities,No. of fire fatalities,No. of injuries,No. of rescues
1,July,2014,16:24:20,005580-01072014,338***,161***,N SOM,BANWELL AND WINSCOMBE,Police,Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",no,Deliberate – own property,no,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,17:49:14,005585-01072014,360***,168***,BRISTOL,WHITCHURCH PARK,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,17:57:42,005586-01072014,364***,179***,S GLOS,WINTERBOURNE,Person (mobile),Fire,RoadVehicle,Road Vehicle > Van,yes,Accidental,no,,,,Person running call,"Accidental;  Overheating, unknown cause",Vehicles only -> Unknown,Not known,Structural/Fixtures/Fitting s – Internal -> Wiring insulation,Structural/Fixtures/Fitting s – Internal -> Wiring insulation,None,None -> No firefighting,,no,,no,,,,,
1,July,2014,18:19:47,005589-01072014,375***,165***,BANES,KINGSMEAD,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Shopping Centre,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
1,July,2014,18:19:15,005588-01072014,365***,177***,S GLOS,DOWNEND,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
1,July,2014,18:38:20,005591-01072014,361***,179***,S GLOS,FILTON,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
1,July,2014,19:51:48,005592-01072014,359***,181***,S GLOS,PATCHWAY,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,
1,July,2014,20:01:31,005593-01072014,360***,168***,BRISTOL,WHITCHURCH PARK,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate – others property,no,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,21:21:04,005597-01072014,365***,168***,BANES,KEYNSHAM SOUTH,Person (mobile),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from height, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,no,,,,,
1,July,2014,21:08:25,005595-01072014,353***,178***,BRISTOL,AVONMOUTH,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Outdoor storage,no,Deliberate – others property,yes,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,22:09:16,005598-01072014,332***,159***,N SOM,WESTON-SUPER-MARE CLARENCE AND UPHILL,Person (land line),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
1,July,2014,22:37:05,005599-01072014,363***,174***,BRISTOL,ST GEORGE WEST,Person (mobile),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
1,July,2014,22:45:53,005600-01072014,360***,174***,BRISTOL,ASHLEY,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,
1,July,2014,22:59:24,005601-01072014,333***,161***,N SOM,WESTON-SUPER-MARE EAST,Person (land line),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Animal assistance incidents, Trapped Animal, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,no,,,,,
2,July,2014,00:12:04,005603-02072014,358***,167***,BRISTOL,WHITCHURCH PARK,Other,Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – own property,no,,,,,,,,,,,,,no,,no,,,,,
1,July,2014,23:44:04,005602-01072014,358***,167***,BRISTOL,WHITCHURCH PARK,Person (mobile),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – others property,yes,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,02:44:33,005604-02072014,363***,174***,BRISTOL,ST GEORGE WEST,Person (land line),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,
2,July,2014,04:04:50,005605-02072014,359***,176***,BRISTOL,HORFIELD,Person (land line),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,
2,July,2014,05:14:01,005606-02072014,363***,175***,BRISTOL,HILLFIELDS,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Industrial Manufacturing > Factory,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
2,July,2014,07:09:21,005610-02072014,358***,176***,BRISTOL,HENLEAZE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Smoke Cloak,no,,,,,
2,July,2014,06:33:00,005609-02072014,347***,163***,N SOM,WRINGTON,Person (mobile),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Flooding, Advice only",no,,no,,,,,
2,July,2014,08:16:41,005614-02072014,361***,179***,S GLOS,FILTON,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
2,July,2014,07:15:13,005611-02072014,365***,180***,S GLOS,WINTERBOURNE,Ambulance,Fire,Dwelling,Building > Dwelling > Bungalow - single occupancy,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Cooking - chip pan/deep fat fryer,Cooking appliance -> Ring/hot plate (separate appliance),Electric,Food -> Cooking oil or fat,Food -> Cooking oil or fat,Fuel supply disconnected,None -> No firefighting,,no,,yes,yes,0,0,2,0
2,July,2014,11:46:24,005621-02072014,357***,180***,BRISTOL,HENBURY,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > DIY Warehouse,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
2,July,2014,11:11:37,005619-02072014,367***,154***,BANES,MIDSOMER NORTON NORTH,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
2,July,2014,12:13:33,005624-02072014,361***,176***,BRISTOL,EASTVILLE,Person (land line),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
2,July,2014,12:21:01,005625-02072014,370***,173***,S GLOS,BOYD VALLEY,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
2,July,2014,12:03:58,005623-02072014,362***,172***,BRISTOL,BRISLINGTON EAST,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Warehouses and bulk storage > Other,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Other,no,,,,,
2,July,2014,12:59:16,005634-02072014,364***,177***,BRISTOL,FROME VALE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Malicious False Alarm > Activation of fire call point/alarm,no,,,,,
2,July,2014,12:22:26,005626-02072014,367***,159***,BANES,TIMSBURY,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
2,July,2014,13:42:24,005635-02072014,362***,179***,S GLOS,STOKE GIFFORD,Police,Special Service,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,"Effecting entry/exit, No persons involved",no,,no,,,,,
2,July,2014,12:40:50,005633-02072014,362***,176***,BRISTOL,EASTVILLE,Person (land line),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – own property,yes,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,14:59:42,005642-02072014,375***,178***,S GLOS,BOYD VALLEY,Other,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,
2,July,2014,15:41:08,005644-02072014,360***,169***,BRISTOL,HENGROVE,Person (mobile),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Roadside vegetation",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,14:30:10,005639-02072014,374***,178***,S GLOS,COTSWOLD EDGE,Person (mobile),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,1,0
2,July,2014,17:13:04,005649-02072014,357***,168***,BRISTOL,BISHOPSWORTH,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
2,July,2014,17:34:42,005652-02072014,364***,175***,BRISTOL,HILLFIELDS,Person (land line),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Advice Only, Other advice",no,,no,,,,,
2,July,2014,18:36:22,005653-02072014,369***,183***,S GLOS,LADDEN BROOK,Person (mobile),False Alarm,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
2,July,2014,19:16:22,005655-02072014,359***,174***,BRISTOL,ASHLEY,Person (mobile),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
2,July,2014,19:06:22,005654-02072014,363***,173***,BRISTOL,BRISLINGTON EAST,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
2,July,2014,16:45:53,005645-02072014,359***,169***,BRISTOL,FILWOOD,Person (land line),Fire,OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,19:49:39,005659-02072014,361***,175***,BRISTOL,EASTON,Person (mobile),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
2,July,2014,19:40:29,005656-02072014,358***,173***,BRISTOL,CLIFTON,Person (land line),False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,
2,July,2014,20:02:57,005660-02072014,364***,171***,S GLOS,HANHAM,Person (mobile),Fire,OutdoorStructure,Outdoor > Outdoor structures > Wheelie bin,no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,21:18:30,005661-02072014,359***,174***,BRISTOL,CABOT,Police,Fire,NonResidential,Building > Non Residential > Food and Drink > Pub/wine bar/bar,yes,Deliberate – others property,no,yes,Yes - occupied,no,Person running call,Deliberate;  - others property: Heat source and combustibles brought together deliberately,"Naked flame -> Lighted paper or card, or other naked flame ",Not applicable,Paper/Cardboard -> Other,"Foam, rubber, plastic -> Plastic – raw material only",Water from bucket/container,None -> No firefighting,,no,,no,don't know,,,,
2,July,2014,22:22:14,005664-02072014,362***,174***,BRISTOL,ST GEORGE WEST,Person (land line),Fire,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,23:02:01,005665-02072014,375***,175***,S GLOS,BOYD VALLEY,Police,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",yes,,no,,,,,
2,July,2014,23:22:27,005668-02072014,361***,177***,BRISTOL,LOCKLEAZE,Person (land line),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – own property,no,,,,,,,,,,,,,no,,no,,,,,
2,July,2014,23:38:57,005669-02072014,360***,174***,BRISTOL,LAWRENCE HILL,Police,Special Service,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,
2,July,2014,23:18:21,005667-02072014,342***,158***,N SOM,BANWELL AND WINSCOMBE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,
3,July,2014,00:34:27,005671-03072014,358***,169***,BRISTOL,HARTCLIFFE,Person (land line),False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
3,July,2014,00:58:24,005673-03072014,363***,191***,S GLOS,THORNBURY NORTH,Person (land line),False Alarm,OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,
2,July,2014,23:58:30,005670-02072014,357***,168***,BRISTOL,HARTCLIFFE,Person (mobile),Fire,OtherResidential,Building > Other Residential > Residential Home > Retirement/Elderly,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Negligent use of equipment or appliance (heat source),Cooking appliance -> Ring/hot plate (separate appliance),Electric,Structural/Fixtures/Fitting s – Internal -> Internal fittings,Structural/Fixtures/Fitting s – Internal -> Other,None,Small means -> Removal from/of heat source,,no,,yes,yes,0,0,1,0
3,July,2014,06:14:18,005676-03072014,372***,164***,BANES,SOUTHDOWN,Person (land line),Special Service,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,"Removal of objects from people, Ring removal",no,,no,,,,,
3,July,2014,06:58:14,005677-03072014,341***,167***,N SOM,BANWELL AND WINSCOMBE,Person (mobile),False Alarm,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Vehicle,no,,,,,
3,July,2014,08:54:13,005684-03072014,360***,171***,BRISTOL,KNOWLE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Retail > Shopping Centre,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Testing,no,,,,,
3,July,2014,08:40:06,005683-03072014,365***,168***,BANES,KEYNSHAM SOUTH,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,
3,July,2014,09:11:39,005685-03072014,347***,177***,N SOM,PORTISHEAD CENTRAL,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,
3,July,2014,10:35:38,005690-03072014,359***,178***,BRISTOL,HORFIELD,Person (land line),False Alarm,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Testing,no,,,,,
3,July,2014,11:01:12,005695-03072014,375***,165***,BANES,ABBEY,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Water intrusion,no,,,,,
3,July,2014,11:09:50,005694-03072014,375***,165***,BANES,ABBEY,Person (land line),Special Service,NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,"Flooding, Advice only",no,,no,,,,,
3,July,2014,12:12:34,005698-03072014,357***,174***,BRISTOL,CLIFTON,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
3,July,2014,14:06:59,005704-03072014,364***,175***,BRISTOL,HILLFIELDS,Person (mobile),False Alarm,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
3,July,2014,13:47:10,005702-03072014,358***,171***,BRISTOL,BEDMINSTER,Person (land line),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
3,July,2014,14:35:50,005707-03072014,366***,178***,S GLOS,SISTON,Person (land line),Special Service,NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,"Effecting entry/exit, For able bodied person not in distress",no,,yes,,0,0,0,1
3,July,2014,14:43:30,005708-03072014,359***,178***,BRISTOL,HORFIELD,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Other,no,,,,,
3,July,2014,14:21:12,005706-03072014,362***,178***,S GLOS,WINTERBOURNE,Person (land line),Fire,NonResidential,Building > Non Residential > Education > College/University,yes,Accidental,no,yes,Yes - occupied,no,Person running call,Accidental;  Negligent use of equipment or appliance (heat source),"Vehicles only -> Engine, fuel line or pump ",Not applicable,"Explosives, gas, chemicals -> Petrol/Oil products",None,Fire extinguisher,None -> No firefighting,,no,,no,yes,,,,
3,July,2014,15:30:16,005710-03072014,359***,174***,BRISTOL,ASHLEY,Police,Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,yes,,0,0,1,0
3,July,2014,15:53:14,005716-03072014,360***,168***,BRISTOL,HENGROVE,AFA from call centre,False Alarm,NonResidential,Building > Non Residential > Sporting venues > Leisure Centre,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Chemicals/aerosols,no,,,,,
3,July,2014,15:48:06,005712-03072014,363***,185***,S GLOS,CHARFIELD,Ambulance,Special Service,RoadVehicle,Road Vehicle > Caravan on tow,,,,,,,,,,,,,,,"RTC, Make scene safe",yes,,no,,,,,
3,July,2014,16:17:57,005717-03072014,374***,165***,BANES,KINGSMEAD,Police,Special Service,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,"Effecting entry/exit, For able bodied person not in distress",no,,no,,,,,
3,July,2014,16:26:56,005720-03072014,359***,172***,BRISTOL,SOUTHVILLE,Person (land line),Fire,Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate – unknown owner,no,,,,,,,,,,,,,no,,no,,,,,
3,July,2014,16:22:48,005719-03072014,359***,181***,S GLOS,ALMONDSBURY,Person (mobile),Special Service,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,no,,,,,
3,July,2014,16:34:28,005721-03072014,361***,179***,S GLOS,FILTON,Person (land line),False Alarm,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,
3,July,2014,17:14:57,005722-03072014,335***,161***,N SOM,WESTON-SUPER-MARE EAST,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
3,July,2014,17:39:47,005723-03072014,333***,162***,N SOM,WESTON-SUPER-MARE WEST,Person (mobile),False Alarm,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,
3,July,2014,18:15:24,005724-03072014,373***,162***,BANES,ODD DOWN,Person (land line),Special Service,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,"Medical Incident - Co-responder, Breathing difficulties / impairment / Respiratory arrest",no,,yes,,0,0,1,0
3,July,2014,18:21:57,005727-03072014,358***,167***,BRISTOL,WHITCHURCH PARK,Person (mobile),Special Service,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from height, Domestic e.g. Cat, Dog, Rodents, Horse, Bird, etc.",no,,yes,,0,0,0,1
3,July,2014,18:49:47,005728-03072014,355***,177***,BRISTOL,KINGSWESTON,AFA from call centre,False Alarm,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,
